Changes_20181109_1159_-Gen5_Kombi-03_Prod_Dev-20_Specifications-10_Customer_Requirements-Consolidated-40_Requirements_-_Functions_3.1_sv,AccStateCurrentConsolidation_sv,OEM_ID_sv,Comparison with '/Gen5_Kombi/03_Prod_Dev/20_Specifications/10_Customer_Requirements/Consolidated/40_Requirements_-_Functions' version: 3.1,FSM,English_sv,Function_sv
deleted,NRQ,40_24606,1 Padding,non-FS,<<< TRANSLATION MUST BE UPDATED >>>,TBD
deleted,NRQ,40_24607,2 Padding,non-FS,<<< TRANSLATION MUST BE UPDATED >>>,TBD
deleted,NRQ,40_24608,3 Padding,non-FS,<<< TRANSLATION MUST BE UPDATED >>>,TBD
unchanged,NRQ,40_11,14 Requirements – Functionality,non-FS,<<< TRANSLATION MUST BE UPDATED >>>Request - functionality,TBD
unchanged,NRQ,40_2538,The grafics used in this specification show just prinicipal layout. The final layout will be matured during development.,non-FS,"<<< TRANSLATION MUST BE UPDATED >>>The display graphics are specified only as principle images in the work statement, effected development-accompanying the final development of the different displays.",TBD
deleted,NRQ,40_14959,"Für die aktuelle Anfragerunde sind die Bilder und Anzeigegrafiken nur Prinzipbilder/-grafiken.
Anpassungsbedarfe:
I-Kombi HIGH 12,3"" 2018: Gesamthafte Änderung HMI-Grafiken
I-Kombi HIGH 10,25"" 2018: Übernahme HMI-Grafiken (I-Kombi HIGH 12,3"" 2018)",non-FS,"For the current request round the images and display graphics are only principle image/graphics.
Anpassungsbedarfe:
I-combination HIGH 12.3” 2018: Entire modification HMI graphics
I-combination HIGH 10.25” 2018: Transfer HMI graphics (I-combination HIGH 12.3” 2018)",TBD
unchanged,NRQ,40_2542,The final display layout will be included in the HMI-SW delivered by BMW.,non-FS,<<< TRANSLATION MUST BE UPDATED >>>BMW reserves itself that actual graphic development takes place development-accompanying and flows into the HMI-SW from BMW.,TBD
unchanged,CON,40_3281,The specification of the communication will be matured during development. The CAN and Ethernet cataloges have to be updated during development.,non-FS,<<< TRANSLATION MUST BE UPDATED >>>The exact specification of the information transfer takes place development-accompanying. A suitable figure on CAN and Ethernet is to be assumed and if necessary reproached.,TBD
new,CON,40_24993,"Mapping of the instrument cluster version to DOORS ConfigVariant filter.
IC system name		ConfigVariant 	Supplier
IC_G5-BOX		IC-Box		Continental
IC_G5-CLAR_H		C-H		Continental
IC_G5-FAAR_H		F-H		Visteon
IC_G5-BASIS		Basis		Visteon
IC_G5-RR		RR		Continental
IC_G5-Mini		MINI		Visteon
Valid for all variants	All		Continental and Visteon",non-FS,<<< TRANSLATION MUST BE UPDATED >>>,TBD
unchanged,NRQ,40_20359,14.1 Change Requests (CR) for current projects,non-FS,<<< TRANSLATION MUST BE UPDATED >>>CR - current projects,TBD
